Day of Year,Latitude,Total Power Generated
15,0,1391227.5414902305
46,0,1451011.3232650068
74,0,1486556.2981733703
105,0,1462186.835505783
135,0,1403401.06982133
166,0,1365340.6922817111
196,0,1386791.0267690206
227,0,1446513.3348680162
258,0,1485744.8126828165
288,0,1467688.1910016949
319,0,1406567.9859511862
349,0,1365868.3827190273
15,10,1229471.7871407336
46,10,1341133.3871075322
74,10,1454528.3169382054
105,10,1514554.5913531852
135,10,1519043.7426148609
166,10,1509517.16119462
196,10,1515549.5343075877
227,10,1519839.0293611537
258,10,1479102.6190531491
288,10,1380751.9629376584
319,10,1255771.0603399023
349,10,1188144.434032292
15,20,1036772.776898187
46,20,1192856.5271524384
74,20,1378326.9967159135
105,20,1522506.9621023226
135,20,1594083.624161051
166,20,1616041.1650198898
196,20,1604960.2450174973
227,20,1549620.3096933302
258,20,1427587.6508978684
288,20,1253109.6844331932
319,20,1072167.7651275976
349,20,982517.5712650314
15,30,820037.7233898456
46,30,1011058.6528347499
74,30,1260272.16574726
105,30,1486054.3825791012
135,30,1627142.8659302925
166,30,1683044.2619650657
196,30,1653406.9324111394
227,30,1535369.7061411939
258,30,1332776.8166750725
288,30,1088836.1444104372
319,30,862206.0126268184
349,30,756603.168918474
15,40,588142.347150638
46,40,802062.6520022114
74,40,1103960.1236171897
105,40,1406844.7207447344
135,40,1619176.5148012422
166,40,1711493.4254810852
196,40,1661818.1348560643
227,40,1478417.7971642667
258,40,1197575.6300628756
288,40,893342.2797253743
319,40,634149.7920135335
349,40,520263.9993508104
15,50,353110.1392010046
46,50,573903.2153830281
74,50,914159.0259110696
105,50,1288418.9500236567
135,50,1574656.9298853583
166,50,1707158.050839846
196,50,1635170.016828892
227,50,1382392.0664523337
258,50,1026143.1613643544
288,50,673446.0513109419
319,50,398988.36110073555
349,50,287302.27636474895
15,60,134852.5628280276
46,60,337533.15813118324
74,60,696678.2347406949
105,60,1137055.3620987847
135,60,1505596.990077778
166,60,1687969.5709872372
196,60,1587783.7816008641
227,60,1254757.8161450438
258,60,823805.8613870936
288,60,437892.8529003372
319,60,174055.18081153967
349,60,82553.03200334821
15,70,2.861088432392299e-10
46,70,112910.3607799403
74,70,458248.4954459562
105,70,965622.6624270555
135,70,1456664.3345521926
166,70,1742370.983319174
196,70,1586888.507748562
227,70,1114029.8983173266
258,70,597055.7624318568
288,70,200127.54671250962
319,70,5840.035743462492
349,70,2.861088432392299e-10
15,80,2.861088432392299e-10
46,80,2.861088432392299e-10
74,80,206711.56374802755
105,80,837069.0316342236
135,80,1523334.657142517
166,80,1825908.209937823
196,80,1663027.8725374246
227,80,1066610.2132217658
258,80,354473.21479026554
288,80,5024.657841877035
319,80,2.861088432392299e-10
349,80,2.861088432392299e-10
15,90,2.861088432392299e-10
46,90,2.861088432392299e-10
74,90,2.861088432392299e-10
105,90,850110.8673859392
135,90,1546816.9628815243
166,90,1853964.0673908615
196,90,1688635.2043752836
227,90,1083180.459559948
258,90,182813.52333117818
288,90,2.861088432392299e-10
319,90,2.861088432392299e-10
349,90,2.861088432392299e-10
