Distance,Score,Heading,Savings
2,2,0.0,167.80784313725533
2,2,45.0,248.87450980392148
2,2,90.0,207.80784313725553
2,2,135.0,150.858823529412
2,2,180.0,198.31764705882395
2,2,225.0,190.7450980392158
2,2,270.0,169.9960784313727
2,2,315.0,133.92941176470626
4,2,0.0,240.18039215686315
4,2,45.0,299.89411764705744
4,2,90.0,310.79607843137234
4,2,135.0,231.68235294117682
4,2,180.0,306.2
4,2,225.0,245.91372549019673
4,2,270.0,249.57647058823545
4,2,315.0,188.21568627450995
6,2,0.0,258.7843137254912
6,2,45.0,293.09411764705783
6,2,90.0,312.3686274509808
6,2,135.0,224.59607843137277
6,2,180.0,311.67843137254926
6,2,225.0,232.7058823529417
6,2,270.0,262.99607843137284
6,2,315.0,218.05882352941208
8,2,0.0,256.62352941176556
8,2,45.0,290.35294117647067
8,2,90.0,294.5215686274514
8,2,135.0,221.7960784313727
8,2,180.0,293.1450980392158
8,2,225.0,224.21176470588267
8,2,270.0,265.8352941176474
8,2,315.0,214.8980392156864
10,2,0.0,259.9529411764711
10,2,45.0,214.17254901960817
10,2,90.0,293.8078431372555
10,2,135.0,216.8901960784315
10,2,180.0,289.52156862745136
10,2,225.0,224.80000000000032
10,2,270.0,266.2901960784318
10,2,315.0,210.5294117647059
12,2,0.0,258.72549019607897
12,2,45.0,204.29803921568652
12,2,90.0,283.517647058824
12,2,135.0,135.20000000000056
12,2,180.0,277.3450980392161
12,2,225.0,220.59607843137292
12,2,270.0,258.01960784313746
12,2,315.0,198.0745098039215
14,2,0.0,243.7647058823533
14,2,45.0,203.34901960784347
14,2,90.0,232.91764705882406
14,2,135.0,132.8627450980397
14,2,180.0,212.01176470588277
14,2,225.0,216.58431372549057
14,2,270.0,244.76862745098077
14,2,315.0,195.22352941176484
16,2,0.0,235.3647058823534
16,2,45.0,178.61176470588285
16,2,90.0,209.89411764705952
16,2,135.0,123.09411764705929
16,2,180.0,200.63921568627484
16,2,225.0,212.06274509803964
16,2,270.0,241.93333333333376
16,2,315.0,187.96078431372578
2,3,0.0,168.80392156862789
2,3,45.0,229.67450980392186
2,3,90.0,208.54509803921633
2,3,135.0,150.25098039215735
2,3,180.0,193.6901960784319
2,3,225.0,218.11764705882368
2,3,270.0,168.88627450980408
2,3,315.0,85.06274509803946
4,3,0.0,229.0470588235299
4,3,45.0,312.5960784313713
4,3,90.0,303.5607843137257
4,3,135.0,233.18823529411793
4,3,180.0,304.05882352941177
4,3,225.0,271.0509803921568
4,3,270.0,227.70980392156883
4,3,315.0,198.2156862745099
6,3,0.0,259.24705882353015
6,3,45.0,315.68235294117494
6,3,90.0,318.47058823529414
6,3,135.0,243.9764705882356
6,3,180.0,313.0862745098042
6,3,225.0,276.2274509803919
6,3,270.0,281.1176470588234
6,3,315.0,225.30588235294135
8,3,0.0,268.58823529411865
8,3,45.0,299.4431372549009
8,3,90.0,321.15686274509835
8,3,135.0,234.55294117647085
8,3,180.0,316.309803921569
8,3,225.0,274.3921568627449
8,3,270.0,278.7725490196083
8,3,315.0,229.19215686274524
10,3,0.0,262.705882352942
10,3,45.0,300.35686274509686
10,3,90.0,306.5764705882355
10,3,135.0,233.61568627451015
10,3,180.0,313.7058823529416
10,3,225.0,275.1843137254903
10,3,270.0,270.9803921568632
10,3,315.0,229.3058823529414
12,3,0.0,258.3960784313733
12,3,45.0,294.58823529411853
12,3,90.0,297.64705882352985
12,3,135.0,231.92941176470617
12,3,180.0,306.41960784313767
12,3,225.0,249.26274509803932
12,3,270.0,266.1294117647064
12,3,315.0,218.30588235294138
14,3,0.0,264.5921568627457
14,3,45.0,237.28627450980414
14,3,90.0,295.9176470588241
14,3,135.0,225.77647058823547
14,3,180.0,296.7764705882355
14,3,225.0,209.86666666666696
14,3,270.0,265.2156862745103
14,3,315.0,214.59215686274513
16,3,0.0,262.3058823529415
16,3,45.0,213.24313725490225
16,3,90.0,295.57647058823596
16,3,135.0,212.45490196078444
16,3,180.0,287.80784313725525
16,3,225.0,205.53333333333364
16,3,270.0,265.7921568627455
16,3,315.0,212.85490196078433
2,4,0.0,162.46666666666704
2,4,45.0,212.32941176470598
2,4,90.0,208.80784313725553
2,4,135.0,150.282352941177
2,4,180.0,192.17647058823582
2,4,225.0,208.22745098039223
2,4,270.0,163.97647058823551
2,4,315.0,128.31764705882392
4,4,0.0,204.6509803921574
4,4,45.0,309.70588235293985
4,4,90.0,277.4039215686276
4,4,135.0,232.01960784313744
4,4,180.0,271.9058823529411
4,4,225.0,259.8941176470589
4,4,270.0,199.10196078431372
4,4,315.0,178.6470588235297
6,4,0.0,253.27843137254962
6,4,45.0,320.56470588235186
6,4,90.0,313.8862745098041
6,4,135.0,242.1764705882356
6,4,180.0,311.8862745098039
6,4,225.0,284.298039215686
6,4,270.0,263.9490196078433
6,4,315.0,215.47843137254924
8,4,0.0,268.400000000001
8,4,45.0,318.2901960784298
8,4,90.0,325.84313725490176
8,4,135.0,247.26666666666708
8,4,180.0,317.47843137254927
8,4,225.0,283.25490196078397
8,4,270.0,287.9019607843138
8,4,315.0,226.16078431372569
10,4,0.0,270.7411764705892
10,4,45.0,305.6392156862734
10,4,90.0,329.1882352941177
10,4,135.0,238.6705882352944
10,4,180.0,319.6392156862749
10,4,225.0,284.96078431372536
10,4,270.0,282.1764705882358
10,4,315.0,230.3450980392158
12,4,0.0,271.741176470589
12,4,45.0,302.08235294117594
12,4,90.0,325.4509803921569
12,4,135.0,236.3019607843141
12,4,180.0,321.5686274509808
12,4,225.0,272.30196078431374
12,4,270.0,273.9215686274515
12,4,315.0,231.4549019607845
14,4,0.0,262.784313725491
14,4,45.0,304.6196078431374
14,4,90.0,309.24313725490214
14,4,135.0,237.56862745098073
14,4,180.0,317.35686274509857
14,4,225.0,273.1450980392158
14,4,270.0,277.3568627450983
14,4,315.0,228.6509803921571
16,4,0.0,260.90980392156933
16,4,45.0,297.3176470588244
16,4,90.0,302.4784313725494
16,4,135.0,234.50588235294137
16,4,180.0,308.45098039215736
16,4,225.0,249.97254901960792
16,4,270.0,268.1882352941181
16,4,315.0,222.74117647058847
2,5,0.0,162.46666666666704
2,5,45.0,206.050980392157
2,5,90.0,208.80784313725553
2,5,135.0,163.46666666666732
2,5,180.0,192.17647058823582
2,5,225.0,195.66274509803935
2,5,270.0,163.97647058823551
2,5,315.0,128.31764705882392
4,5,0.0,194.2666666666672
4,5,45.0,305.67058823529266
4,5,90.0,250.2705882352945
4,5,135.0,211.2588235294117
4,5,180.0,252.7137254901962
4,5,225.0,253.78039215686294
4,5,270.0,201.54117647058825
4,5,315.0,160.36862745098068
6,5,0.0,254.39607843137347
6,5,45.0,323.26666666666523
6,5,90.0,309.6549019607847
6,5,135.0,243.4980392156865
6,5,180.0,314.54901960784326
6,5,225.0,290.1333333333332
6,5,270.0,241.88627450980434
6,5,315.0,213.55294117647068
8,5,0.0,259.73725490196136
8,5,45.0,324.19999999999885
8,5,90.0,323.627450980392
8,5,135.0,252.5568627450984
8,5,180.0,318.37254901960813
8,5,225.0,290.74901960784297
8,5,270.0,278.49019607843127
8,5,315.0,230.53725490196115
10,5,0.0,270.0196078431381
10,5,45.0,319.8784313725474
10,5,90.0,328.17254901960774
10,5,135.0,246.72549019607897
10,5,180.0,321.90588235294155
10,5,225.0,283.19607843137214
10,5,270.0,288.764705882353
